title,certificate,runtime,genre,rating,director,gross_earn
The Shawshank Redemption,15,142 min,Drama,9.3,Frank Darabont,$28.34M
The Godfather,X,175 min,"Crime, Drama",9.2,Francis Ford Coppola,$134.97M
Hababam Sinifi,12A,87 min,"Comedy, Drama",9.2,Ertem Egilmez,
12 Angry Men,U,96 min,"Crime, Drama",9,Sidney Lumet,$4.36M
The Dark Knight,12A,152 min,"Action, Crime, Drama",9,Christopher Nolan,$534.86M
The Lord of the Rings: The Return of the King,12A,201 min,"Action, Adventure, Drama",9,Peter Jackson,$377.85M
Schindler's List,15,195 min,"Biography, Drama, History",9,Steven Spielberg,$96.90M
The Godfather: Part II,X,202 min,"Crime, Drama",9,Francis Ford Coppola,$57.30M
Pulp Fiction,18,154 min,"Crime, Drama",8.9,Quentin Tarantino,$107.93M
"The Good, the Bad and the Ugly",X,148 min,"Adventure, Western",8.8,Sergio Leone,$6.10M
Inception,12A,148 min,"Action, Adventure, Sci-Fi",8.8,Christopher Nolan,$292.58M
Fight Club,18,139 min,Drama,8.8,David Fincher,$37.03M
Forrest Gump,12,142 min,"Drama, Romance",8.8,Robert Zemeckis,$330.25M
The Lord of the Rings: The Fellowship of the Ring,PG,178 min,"Action, Adventure, Drama",8.8,Peter Jackson,$315.54M
The Lord of the Rings: The Two Towers,12A,179 min,"Action, Adventure, Drama",8.8,Peter Jackson,$342.55M
One Flew Over the Cuckoo's Nest,15,133 min,Drama,8.7,Milos Forman,$112.00M
The Matrix,15,136 min,"Action, Sci-Fi",8.7,Lana Wachowski,$171.48M
Star Wars: Episode V - The Empire Strikes Back,U,124 min,"Action, Adventure, Fantasy",8.7,Irvin Kershner,$290.48M
Goodfellas,18,145 min,"Biography, Crime, Drama",8.7,Martin Scorsese,$46.84M
City of God,18,130 min,"Crime, Drama",8.6,Fernando Meirelles,$7.56M
Spirited Away,PG,125 min,"Animation, Adventure, Family",8.6,Hayao Miyazaki,$10.06M
Life Is Beautiful,PG,116 min,"Comedy, Drama, Romance",8.6,Roberto Benigni,$57.60M
It's a Wonderful Life,U,130 min,"Drama, Family, Fantasy",8.6,Frank Capra,
Seven Samurai,A,207 min,"Action, Drama",8.6,Akira Kurosawa,$0.27M
Interstellar,12A,169 min,"Adventure, Drama, Sci-Fi",8.6,Christopher Nolan,$188.02M
Seven,18,127 min,"Crime, Drama, Mystery",8.6,David Fincher,$100.13M
The Silence of the Lambs,18,118 min,"Crime, Drama, Thriller",8.6,Jonathan Demme,$130.74M
Saving Private Ryan,15,169 min,"Drama, War",8.6,Steven Spielberg,$216.54M
Star Wars,U,121 min,"Action, Adventure, Fantasy",8.6,George Lucas,$322.74M
The Green Mile,18,189 min,"Crime, Drama, Fantasy",8.6,Frank Darabont,$136.80M
Terminator 2: Judgment Day,15,137 min,"Action, Sci-Fi",8.6,James Cameron,$204.84M
Harakiri,X,133 min,"Action, Drama, Mystery",8.6,Masaki Kobayashi,
Alien,X,117 min,"Horror, Sci-Fi",8.5,Ridley Scott,$78.90M
Untouchable,15,112 min,"Biography, Comedy, Drama",8.5,Olivier Nakache,$13.18M
Whiplash,15,106 min,"Drama, Music",8.5,Damien Chazelle,$13.09M
The Pianist,15,150 min,"Biography, Drama, Music",8.5,Roman Polanski,$32.57M
Psycho,15,109 min,"Horror, Mystery, Thriller",8.5,Alfred Hitchcock,$32.00M
Apocalypse Now,X,147 min,"Drama, Mystery, War",8.5,Francis Ford Coppola,$83.47M
Casablanca,U,102 min,"Drama, Romance, War",8.5,Michael Curtiz,$1.02M
Rear Window,A,112 min,"Mystery, Thriller",8.5,Alfred Hitchcock,$36.76M
Once Upon a Time in the West,AA,165 min,Western,8.5,Sergio Leone,$5.32M
Grave of the Fireflies,12A,89 min,"Animation, Drama, War",8.5,Isao Takahata,
Cinema Paradiso,PG,155 min,"Drama, Romance",8.5,Giuseppe Tornatore,$11.99M
Modern Times,U,87 min,"Comedy, Drama, Romance",8.5,Charles Chaplin,$0.16M
Gladiator,15,155 min,"Action, Adventure, Drama",8.5,Ridley Scott,$187.71M
The Prestige,12A,130 min,"Drama, Mystery, Sci-Fi",8.5,Christopher Nolan,$53.09M
The Departed,18,151 min,"Crime, Drama, Thriller",8.5,Martin Scorsese,$132.38M
Back to the Future,PG,116 min,"Adventure, Comedy, Sci-Fi",8.5,Robert Zemeckis,$210.61M
Leon,18,110 min,"Action, Crime, Drama",8.5,Luc Besson,$19.50M
American History X,18,119 min,"Crime, Drama",8.5,Tony Kaye,$6.72M
The Usual Suspects,18,106 min,"Crime, Drama, Mystery",8.5,Bryan Singer,$23.34M
The Lion King,U,88 min,"Animation, Adventure, Drama",8.5,Roger Allers,$422.78M
City Lights,U,87 min,"Comedy, Drama, Romance",8.5,Charles Chaplin,$0.02M
The Best of Youth,R,366 min,"Drama, Romance",8.5,Marco Tullio Giordana,$0.27M
Raiders of the Lost Ark,A,115 min,"Action, Adventure",8.4,Steven Spielberg,$248.16M
Aliens,U,137 min,"Action, Adventure, Sci-Fi",8.4,James Cameron,$85.16M
Oldboy,18,101 min,"Action, Drama, Mystery",8.4,Park Chan-wook,$0.71M
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,A,95 min,"Comedy, War",8.4,Stanley Kubrick,$0.28M
Amadeus,PG,160 min,"Biography, Drama, Music",8.4,Milos Forman,$51.97M
3 Idiots,12A,170 min,"Comedy, Drama",8.4,Rajkumar Hirani,$6.53M
Princess Mononoke,PG,134 min,"Animation, Adventure, Fantasy",8.4,Hayao Miyazaki,$2.38M
The Lives of Others,15,137 min,"Drama, Mystery, Thriller",8.4,Florian Henckel von Donnersmarck,$11.29M
Das Boot,AA,149 min,"Drama, War",8.4,Wolfgang Petersen,$11.49M
The Great Dictator,U,125 min,"Comedy, Drama, War",8.4,Charles Chaplin,$0.29M
Sunset Blvd.,PG,110 min,"Drama, Film-Noir",8.4,Billy Wilder,
The Dark Knight Rises,12A,164 min,"Action, Drama",8.4,Christopher Nolan,$448.14M
Django Unchained,18,165 min,"Drama, Western",8.4,Quentin Tarantino,$162.81M
Memento,15,113 min,"Mystery, Thriller",8.4,Christopher Nolan,$25.54M
American Beauty,18,122 min,Drama,8.4,Sam Mendes,$130.10M
WALL·E,U,98 min,"Animation, Adventure, Family",8.4,Andrew Stanton,$223.81M
Braveheart,15,178 min,"Biography, Drama, History",8.4,Mel Gibson,$75.60M
The Shining,15,146 min,"Drama, Horror",8.4,Stanley Kubrick,$44.02M
Paths of Glory,PG,88 min,"Drama, War",8.4,Stanley Kubrick,
Witness for the Prosecution,U,116 min,"Crime, Drama, Mystery",8.4,Billy Wilder,$8.18M
Come and See,15,142 min,"Drama, Thriller, War",8.4,Elem Klimov,
High and Low,12,143 min,"Crime, Drama, Mystery",8.4,Akira Kurosawa,
Eternal Sunshine of the Spotless Mind,15,108 min,"Drama, Romance, Sci-Fi",8.3,Michel Gondry,$34.40M
Toy Story,PG,81 min,"Animation, Adventure, Comedy",8.3,John Lasseter,$191.80M
Good Will Hunting,15,126 min,"Drama, Romance",8.3,Gus Van Sant,$138.43M
Snatch,18,104 min,"Comedy, Crime",8.3,Guy Ritchie,$30.33M
Requiem for a Dream,18,102 min,Drama,8.3,Darren Aronofsky,$3.64M
Toy Story 3,U,103 min,"Animation, Adventure, Comedy",8.3,Lee Unkrich,$415.00M
Scarface,18,170 min,"Crime, Drama",8.3,Brian De Palma,$45.60M
A Clockwork Orange,X,136 min,"Crime, Sci-Fi",8.3,Stanley Kubrick,$6.21M
Amélie,15,122 min,"Comedy, Romance",8.3,Jean-Pierre Jeunet,$33.23M
Full Metal Jacket,18,116 min,"Drama, War",8.3,Stanley Kubrick,$46.36M
2001: A Space Odyssey,U,149 min,"Adventure, Sci-Fi",8.3,Stanley Kubrick,$56.95M
Heat,15,170 min,"Action, Crime, Drama",8.3,Michael Mann,$67.44M
Citizen Kane,A,119 min,"Drama, Mystery",8.3,Orson Welles,$1.59M
Vertigo,A,128 min,"Mystery, Romance, Thriller",8.3,Alfred Hitchcock,$3.20M
Once Upon a Time in America,18,229 min,"Crime, Drama",8.3,Sergio Leone,$5.32M
North by Northwest,A,136 min,"Action, Adventure, Mystery",8.3,Alfred Hitchcock,$13.28M
The Hunt,15,115 min,Drama,8.3,Thomas Vinterberg,$0.69M
To Kill a Mockingbird,A,129 min,"Crime, Drama",8.3,Robert Mulligan,
Lawrence of Arabia,PG,218 min,"Adventure, Biography, Drama",8.3,David Lean,$44.82M
The Sting,A,129 min,"Comedy, Crime, Drama",8.3,George Roy Hill,$159.60M
A Separation,PG,123 min,Drama,8.3,Asghar Farhadi,$7.10M
Singin' in the Rain,U,103 min,"Comedy, Musical, Romance",8.3,Stanley Donen,$8.82M
Inglourious Basterds,18,153 min,"Adventure, Drama, War",8.3,Quentin Tarantino,$120.54M
Star Wars: Return of the Jedi,U,131 min,"Action, Adventure, Fantasy",8.3,Richard Marquand,$309.13M
Up,U,96 min,"Animation, Adventure, Comedy",8.3,Pete Docter,$293.00M
Reservoir Dogs,18,99 min,"Crime, Drama, Thriller",8.3,Quentin Tarantino,$2.83M
Like Stars on Earth,PG,165 min,"Drama, Family",8.3,Aamir Khan,$1.22M
The Apartment,A,125 min,"Comedy, Drama, Romance",8.3,Billy Wilder,$18.60M
Incendies,15,131 min,"Drama, Mystery",8.3,Denis Villeneuve,$6.86M
Metropolis,A,153 min,"Drama, Sci-Fi",8.3,Fritz Lang,$1.24M
Bicycle Thieves,U,89 min,Drama,8.3,Vittorio De Sica,$0.33M
M,A,117 min,"Crime, Mystery, Thriller",8.3,Fritz Lang,$0.03M
Double Indemnity,A,107 min,"Crime, Drama, Film-Noir",8.3,Billy Wilder,$5.72M
The Kid,U,68 min,"Comedy, Drama, Family",8.3,Charles Chaplin,$5.45M
Ikiru,A,143 min,Drama,8.3,Akira Kurosawa,$0.06M
Judgment at Nuremberg,A,179 min,"Drama, War",8.3,Stanley Kramer,
The Sixth Sense,15,107 min,"Drama, Mystery, Thriller",8.2,M. Night Shyamalan,$293.51M
Jurassic Park,PG,127 min,"Action, Adventure, Sci-Fi",8.2,Steven Spielberg,$402.45M
No Country for Old Men,15,122 min,"Crime, Drama, Thriller",8.2,Ethan Coen,$74.28M
A Beautiful Mind,12,135 min,"Biography, Drama",8.2,Ron Howard,$170.74M
Die Hard,18,132 min,"Action, Thriller",8.2,John McTiernan,$83.01M
Taxi Driver,X,114 min,"Crime, Drama",8.2,Martin Scorsese,$28.26M
Indiana Jones and the Last Crusade,PG,127 min,"Action, Adventure",8.2,Steven Spielberg,$197.17M
Inside Out,U,95 min,"Animation, Adventure, Comedy",8.2,Pete Docter,$356.46M
Pan's Labyrinth,15,118 min,"Drama, Fantasy, War",8.2,Guillermo del Toro,$37.63M
There Will Be Blood,12A,158 min,Drama,8.2,Paul Thomas Anderson,$40.22M
L.A. Confidential,18,138 min,"Crime, Drama, Mystery",8.2,Curtis Hanson,$64.62M
"Lock, Stock and Two Smoking Barrels",18,107 min,"Action, Comedy, Crime",8.2,Guy Ritchie,$3.90M
Monty Python and the Holy Grail,15,91 min,"Adventure, Comedy, Fantasy",8.2,Terry Gilliam,$1.23M
Casino,18,178 min,"Crime, Drama",8.2,Martin Scorsese,$42.44M
Warrior,12A,140 min,"Action, Drama, Sport",8.2,Gavin O'Connor,$13.66M
The Thing,X,109 min,"Horror, Mystery, Sci-Fi",8.2,John Carpenter,$13.78M
Unforgiven,15,130 min,"Drama, Western",8.2,Clint Eastwood,$101.16M
Howl's Moving Castle,U,119 min,"Animation, Adventure, Family",8.2,Hayao Miyazaki,$4.71M
Downfall,15,156 min,"Biography, Drama, History",8.2,Oliver Hirschbiegel,$5.51M
Raging Bull,X,129 min,"Biography, Drama, Sport",8.2,Martin Scorsese,$23.38M
Chinatown,X,130 min,"Drama, Mystery, Thriller",8.2,Roman Polanski,$8.49M
Gone with the Wind,PG,238 min,"Drama, Romance, War",8.2,Victor Fleming,$198.68M
Some Like It Hot,A,121 min,"Comedy, Music, Romance",8.2,Billy Wilder,$25.00M
For a Few Dollars More,X,132 min,Western,8.2,Sergio Leone,$15.00M
The Great Escape,PG,172 min,"Adventure, Drama, History",8.2,John Sturges,$12.10M
The Elephant Man,AA,124 min,"Biography, Drama",8.2,David Lynch,
The Bridge on the River Kwai,U,161 min,"Adventure, Drama, War",8.2,David Lean,$44.91M
The Secret in Their Eyes,18,129 min,"Drama, Mystery, Romance",8.2,Juan José Campanella,$6.39M
Batman Begins,12A,140 min,"Action, Crime, Drama",8.2,Christopher Nolan,$206.85M
The Wolf of Wall Street,18,180 min,"Biography, Comedy, Crime",8.2,Martin Scorsese,$116.90M
Shutter Island,15,138 min,"Mystery, Thriller",8.2,Martin Scorsese,$128.01M
V for Vendetta,15,132 min,"Action, Drama, Sci-Fi",8.2,James McTeigue,$70.51M
Kill Bill: Vol. 1,18,111 min,"Action, Crime, Drama",8.2,Quentin Tarantino,$70.10M
The Truman Show,PG,103 min,"Comedy, Drama",8.2,Peter Weir,$125.62M
Finding Nemo,U,100 min,"Animation, Adventure, Comedy",8.2,Andrew Stanton,$380.84M
Dial M for Murder,PG,105 min,"Crime, Thriller",8.2,Alfred Hitchcock,$0.01M
Rashomon,X,88 min,"Crime, Drama, Mystery",8.2,Akira Kurosawa,$0.10M
All About Eve,A,138 min,Drama,8.2,Joseph L. Mankiewicz,$0.01M
Ran,15,162 min,"Action, Drama, War",8.2,Akira Kurosawa,$4.14M
The Treasure of the Sierra Madre,A,126 min,"Adventure, Drama, Western",8.2,John Huston,$5.01M
Yojimbo,A,110 min,"Action, Drama, Thriller",8.2,Akira Kurosawa,
The Gold Rush,U,95 min,"Adventure, Comedy, Drama",8.2,Charles Chaplin,$5.45M
Gangs of Wasseypur,18,321 min,"Action, Comedy, Crime",8.2,Anurag Kashyap,
The General,U,67 min,"Action, Adventure, Comedy",8.2,Clyde Bruckman,$1.03M
My Father and My Son,PG,112 min,"Drama, Family",8.2,Cagan Irmak,
Drishyam,12A,163 min,"Crime, Drama, Mystery",8.2,Nishikant Kamat,$0.74M
Zindagi Na Milegi Dobara,PG,155 min,"Comedy, Drama, Musical",8.2,Zoya Akhtar,$3.11M
Children of Heaven,PG,89 min,"Drama, Family, Sport",8.2,Majid Majidi,$0.93M
Bhaag Milkha Bhaag,12A,186 min,"Biography, Drama, Sport",8.2,Rakeysh Omprakash Mehra,$1.63M
Tokyo Story,U,136 min,Drama,8.2,Yasujirô Ozu,
The Wages of Fear,A,131 min,"Adventure, Drama, Thriller",8.2,Henri-Georges Clouzot,
The Passion of Joan of Arc,A,110 min,"Biography, Drama, History",8.2,Carl Theodor Dreyer,$0.02M
Sherlock Jr.,U,45 min,"Action, Comedy, Romance",8.2,Buster Keaton,$0.98M
To Be or Not to Be,U,99 min,"Comedy, Romance, War",8.2,Ernst Lubitsch,
Paan Singh Tomar,12A,135 min,"Action, Biography, Crime",8.2,Tigmanshu Dhulia,$0.04M
Dersu Uzala,U,142 min,"Adventure, Biography, Drama",8.2,Akira Kurosawa,
Z,A,127 min,"Crime, Drama, Thriller",8.2,Costa-Gavras,$0.08M
Umberto D.,A,89 min,Drama,8.2,Vittorio De Sica,$0.07M
Mad Max: Fury Road,15,120 min,"Action, Adventure, Sci-Fi",8.1,George Miller,$154.06M
Gone Girl,18,149 min,"Drama, Mystery, Thriller",8.1,David Fincher,$167.77M
Catch Me If You Can,12A,141 min,"Biography, Crime, Drama",8.1,Steven Spielberg,$164.62M
"Monsters, Inc.",U,92 min,"Animation, Adventure, Comedy",8.1,Pete Docter,$289.92M
Harry Potter and the Deathly Hallows: Part 2,12A,130 min,"Adventure, Fantasy, Mystery",8.1,David Yates,$381.01M
The Terminator,18,107 min,"Action, Sci-Fi",8.1,James Cameron,$38.40M
The Big Lebowski,18,117 min,"Comedy, Crime",8.1,Joel Coen,$17.50M
The Grand Budapest Hotel,15,99 min,"Adventure, Comedy, Crime",8.1,Wes Anderson,$59.10M
Gran Torino,15,116 min,Drama,8.1,Clint Eastwood,$148.10M
Blade Runner,AA,117 min,"Action, Drama, Sci-Fi",8.1,Ridley Scott,$32.87M
How to Train Your Dragon,PG,98 min,"Animation, Action, Adventure",8.1,Dean DeBlois,$217.58M
Ratatouille,U,111 min,"Animation, Adventure, Comedy",8.1,Brad Bird,$206.45M
Prisoners,15,153 min,"Crime, Drama, Mystery",8.1,Denis Villeneuve,$61.00M
12 Years a Slave,15,134 min,"Biography, Drama, History",8.1,Steve McQueen,$56.67M
Million Dollar Baby,12A,132 min,"Drama, Sport",8.1,Clint Eastwood,$100.49M
Trainspotting,18,93 min,Drama,8.1,Danny Boyle,$16.50M
Fargo,18,98 min,"Crime, Thriller",8.1,Joel Coen,$24.61M
Groundhog Day,PG,101 min,"Comedy, Drama, Fantasy",8.1,Harold Ramis,$70.91M
Into the Wild,15,148 min,"Adventure, Biography, Drama",8.1,Sean Penn,$18.35M
Jaws,A,124 min,"Adventure, Thriller",8.1,Steven Spielberg,$260.00M
Rocky,12,120 min,"Drama, Sport",8.1,John G. Avildsen,$117.24M
Dead Poets Society,PG,128 min,"Comedy, Drama",8.1,Peter Weir,$95.86M
Rush,15,123 min,"Action, Biography, Drama",8.1,Ron Howard,$26.95M
Spotlight,15,129 min,"Biography, Crime, Drama",8.1,Tom McCarthy,$45.06M
The Help,12A,146 min,Drama,8.1,Tate Taylor,$169.71M
Room,15,118 min,"Drama, Thriller",8.1,Lenny Abrahamson,$14.68M
Platoon,15,120 min,"Drama, War",8.1,Oliver Stone,$138.53M
The Exorcist,X,122 min,Horror,8.1,William Friedkin,$232.91M
Stand by Me,15,89 min,"Adventure, Drama",8.1,Rob Reiner,$52.29M
The Wizard of Oz,A,102 min,"Adventure, Family, Fantasy",8.1,Victor Fleming,$2.08M
Hotel Rwanda,12A,121 min,"Biography, Drama, History",8.1,Terry George,$23.53M
The Deer Hunter,X,183 min,"Drama, War",8.1,Michael Cimino,$48.98M
My Neighbour Totoro,U,86 min,"Animation, Comedy, Family",8.1,Hayao Miyazaki,$1.11M
Before Sunrise,15,101 min,"Drama, Romance",8.1,Richard Linklater,$5.54M
Hachi: A Dog's Tale,U,93 min,"Biography, Drama, Family",8.1,Lasse Hallström,
Before Sunset,15,80 min,"Drama, Romance",8.1,Richard Linklater,$5.82M
Amores perros,18,154 min,"Drama, Thriller",8.1,Alejandro G. Iñárritu,$5.38M
Ben-Hur,A,212 min,"Adventure, Drama",8.1,William Wyler,$74.70M
The Sound of Music,U,172 min,"Biography, Drama, Family",8.1,Robert Wise,$163.21M
Gandhi,A,191 min,"Biography, Drama",8.1,Richard Attenborough,$52.77M
Pirates of the Caribbean: The Curse of the Black Pearl,12A,143 min,"Action, Adventure, Fantasy",8.1,Gore Verbinski,$305.41M
Wild Tales,15,122 min,"Comedy, Drama, Thriller",8.1,Damián Szifron,$3.11M
The Iron Giant,U,86 min,"Animation, Action, Adventure",8.1,Brad Bird,$23.16M
PK,12A,153 min,"Comedy, Drama, Sci-Fi",8.1,Rajkumar Hirani,$10.62M
The Seventh Seal,X,96 min,"Drama, Fantasy",8.1,Ingmar Bergman,
Memories of Murder,15,131 min,"Crime, Drama, Mystery",8.1,Bong Joon Ho,$0.01M
Mary and Max,12A,92 min,"Animation, Comedy, Drama",8.1,Adam Elliot,
Cool Hand Luke,A,127 min,"Crime, Drama",8.1,Stuart Rosenberg,$16.22M
In the Name of the Father,15,133 min,"Biography, Crime, Drama",8.1,Jim Sheridan,$25.01M
La Haine,15,98 min,"Crime, Drama",8.1,Mathieu Kassovitz,$0.31M
The Third Man,A,104 min,"Film-Noir, Mystery, Thriller",8.1,Carol Reed,$0.45M
Barry Lyndon,A,185 min,"Adventure, Drama, War",8.1,Stanley Kubrick,
Network,AA,121 min,Drama,8.1,Sidney Lumet,
On the Waterfront,A,108 min,"Crime, Drama, Thriller",8.1,Elia Kazan,$9.60M
In the Mood for Love,PG,98 min,"Drama, Romance",8.1,Kar-Wai Wong,$2.73M
Rebecca,A,130 min,"Drama, Film-Noir, Mystery",8.1,Alfred Hitchcock,$4.36M
Stalker,PG,162 min,"Drama, Sci-Fi",8.1,Andrei Tarkovsky,$0.23M
Color It Yellow,15,167 min,"Comedy, Crime, Drama",8.1,Rakeysh Omprakash Mehra,$2.20M
Persona,X,85 min,"Drama, Thriller",8.1,Ingmar Bergman,
The 400 Blows,A,99 min,"Crime, Drama",8.1,François Truffaut,
Mr. Smith Goes to Washington,U,129 min,"Comedy, Drama",8.1,Frank Capra,$9.60M
Lagaan: Once Upon a Time in India,PG,224 min,"Drama, Musical, Sport",8.1,Ashutosh Gowariker,$0.07M
Wild Strawberries,A,91 min,"Drama, Romance",8.1,Ingmar Bergman,
"Paris, Texas",15,145 min,Drama,8.1,Wim Wenders,$2.18M
It Happened One Night,A,105 min,"Comedy, Romance",8.1,Frank Capra,$4.36M
Three Colours: Red,15,99 min,"Drama, Mystery, Romance",8.1,Krzysztof Kieslowski,$4.04M
The Grapes of Wrath,A,129 min,Drama,8.1,John Ford,$0.06M
"Swades: We, the People",U,210 min,"Drama, Musical",8.1,Ashutosh Gowariker,$1.22M
The Celebration,15,105 min,Drama,8.1,Thomas Vinterberg,$1.65M
Bajrangi Bhaijaan,12A,163 min,"Action, Adventure, Comedy",8.1,Kabir Khan,$8.18M
Barfi!,PG,151 min,"Comedy, Drama, Romance",8.1,Anurag Basu,$2.80M
Munna Bhai M.B.B.S.,PG,156 min,"Comedy, Drama",8.1,Rajkumar Hirani,
Chakde! India,PG,153 min,"Drama, Family, Sport",8.1,Shimit Amin,$1.11M
A Wednesday,15,104 min,"Action, Crime, Drama",8.1,Neeraj Pandey,
The Man Who Shot Liberty Valance,U,123 min,"Drama, Western",8.1,John Ford,
Dil Chahta Hai,PG,183 min,"Comedy, Drama, Romance",8.1,Farhan Akhtar,$0.30M
The Bandit,15,128 min,"Crime, Drama, Thriller",8.1,Yavuz Turgul,
Hera Pheri,15,156 min,"Action, Comedy, Crime",8.1,Priyadarshan,
Les Diaboliques,X,117 min,"Crime, Drama, Horror",8.1,Henri-Georges Clouzot,$1.09M
Queen,12A,146 min,"Adventure, Comedy, Drama",8.1,Vikas Bahl,$1.43M
The Best Years of Our Lives,U,170 min,"Drama, Romance, War",8.1,William Wyler,$23.65M
Fanny and Alexander,15,188 min,Drama,8.1,Ingmar Bergman,$4.97M
Kahaani,15,122 min,"Mystery, Thriller",8.1,Sujoy Ghosh,$1.04M
All Quiet on the Western Front,PG,152 min,"Drama, War",8.1,Lewis Milestone,$3.27M
The Battle of Algiers,X,121 min,"Drama, War",8.1,Gillo Pontecorvo,$0.06M
OMG: Oh My God!,PG,125 min,"Comedy, Drama, Fantasy",8.1,Umesh Shukla,$0.92M
Underground,15,170 min,"Comedy, Drama, Fantasy",8.1,Emir Kusturica,$0.17M
Sholay,PG,204 min,"Action, Adventure, Comedy",8.1,Ramesh Sippy,
Haider,15,160 min,"Action, Crime, Drama",8.1,Vishal Bhardwaj,$0.90M
Throne of Blood,A,110 min,"Drama, History",8.1,Akira Kurosawa,
Sunrise: A Song of Two Humans,A,94 min,"Drama, Romance",8.1,F.W. Murnau,$0.54M
Nights of Cabiria,X,110 min,Drama,8.1,Federico Fellini,$0.75M
The Message,PG,177 min,"Biography, Drama, History",8.1,Moustapha Akkad,
Paper Moon,A,102 min,"Comedy, Crime, Drama",8.1,Peter Bogdanovich,$30.93M
Tangerines,15,87 min,"Drama, War",8.1,Zaza Urushadze,$0.14M
Udaan,Not Rated,134 min,Drama,8.1,Vikramaditya Motwane,$0.01M
Wolf Children,PG,117 min,"Animation, Drama, Family",8.1,Mamoru Hosoda,
The Hidden Fortress,A,139 min,"Action, Adventure, Drama",8.1,Akira Kurosawa,
La Grande Illusion,U,113 min,"Drama, War",8.1,Jean Renoir,$0.17M
Ace in the Hole,A,111 min,"Drama, Film-Noir",8.1,Billy Wilder,$3.97M
The Red Shoes,U,135 min,"Drama, Music, Romance",8.1,Michael Powell,$10.90M
Black,12A,122 min,Drama,8.1,Sanjay Leela Bhansali,$0.73M
Rififi,12,118 min,"Crime, Drama, Thriller",8.1,Jules Dassin,$0.06M
The Circus,U,72 min,"Comedy, Family, Romance",8.1,Charles Chaplin,
The Shop Around the Corner,U,99 min,"Comedy, Drama, Romance",8.1,Ernst Lubitsch,$0.20M
White Heat,A,114 min,"Action, Crime, Drama",8.1,Raoul Walsh,
Raise the Red Lantern,PG,125 min,"Drama, History, Romance",8.1,Yimou Zhang,$2.60M
Time of the Gypsies,15,142 min,"Comedy, Crime, Drama",8.1,Emir Kusturica,$0.28M
Inherit the Wind,A,128 min,"Biography, Drama, History",8.1,Stanley Kramer,
The Virgin Spring,15,89 min,Drama,8.1,Ingmar Bergman,$1.53M
Farewell My Concubine,15,171 min,"Drama, Music, Romance",8.1,Kaige Chen,$5.22M
Jean de Florette,PG,120 min,"Comedy, Drama",8.1,Claude Berri,$4.94M
Viridiana,X,90 min,Drama,8.1,Luis Buñuel,
A Moment to Remember,144 min,"Drama, Romance",,8.1,John H. Lee,
The Twilight Samurai,12A,129 min,"Drama, Romance",8.1,Yôji Yamada,
The Martian,12A,144 min,"Adventure, Drama, Sci-Fi",8,Ridley Scott,$228.43M
Slumdog Millionaire,15,120 min,"Crime, Drama, Romance",8,Danny Boyle,$141.32M
Donnie Darko,15,113 min,"Drama, Mystery, Sci-Fi",8,Richard Kelly,$1.48M
The Revenant,15,156 min,"Action, Adventure, Drama",8,Alejandro G. Iñárritu,$183.64M
Sin City,18,124 min,"Crime, Thriller",8,Frank Miller,$74.10M
The Imitation Game,12A,114 min,"Biography, Drama, Thriller",8,Morten Tyldum,$91.13M
Black Swan,15,108 min,"Drama, Thriller",8,Darren Aronofsky,$106.95M
Kill Bill: Vol. 2,18,137 min,"Action, Crime, Thriller",8,Quentin Tarantino,$66.21M
The Incredibles,U,115 min,"Animation, Action, Adventure",8,Brad Bird,$261.44M
The King's Speech,15,118 min,"Biography, Drama, History",8,Tom Hooper,$138.80M
Casino Royale,12A,144 min,"Action, Adventure, Thriller",8,Martin Campbell,$167.45M
The Bourne Ultimatum,12A,115 min,"Action, Mystery, Thriller",8,Paul Greengrass,$227.47M
Twelve Monkeys,15,129 min,"Mystery, Sci-Fi, Thriller",8,Terry Gilliam,$57.14M
Her,15,126 min,"Drama, Romance, Sci-Fi",8,Spike Jonze,$25.57M
Blood Diamond,15,143 min,"Adventure, Drama, Thriller",8,Edward Zwick,$57.37M
Rain Man,15,133 min,Drama,8,Barry Levinson,$178.80M
The Perks of Being a Wallflower,12A,103 min,"Drama, Romance",8,Stephen Chbosky,$17.74M
The Pursuit of Happyness,12A,117 min,"Biography, Drama",8,Gabriele Muccino,$163.57M
Zootropolis,PG,108 min,"Animation, Adventure, Comedy",8,Byron Howard,$341.27M
Beauty and the Beast,U,84 min,"Animation, Family, Fantasy",8,Gary Trousdale,$218.97M
Big Fish,PG,125 min,"Adventure, Drama, Fantasy",8,Tim Burton,$66.26M
The Princess Bride,PG,98 min,"Adventure, Family, Fantasy",8,Rob Reiner,$30.86M
Aladdin,U,90 min,"Animation, Adventure, Comedy",8,Ron Clements,$217.35M
Life of Brian,AA,94 min,Comedy,8,Terry Jones,$20.05M
Magnolia,18,188 min,Drama,8,Paul Thomas Anderson,$22.46M
Scent of a Woman,15,156 min,Drama,8,Martin Brest,$63.90M
The Graduate,X,106 min,"Comedy, Drama, Romance",8,Mike Nichols,$104.95M
Annie Hall,AA,93 min,"Comedy, Romance",8,Woody Allen,$39.20M
Dances with Wolves,12,181 min,"Adventure, Drama, Western",8,Kevin Costner,$184.21M
Dog Day Afternoon,X,125 min,"Biography, Crime, Drama",8,Sidney Lumet,$50.00M
